RPFD, EPFD, Merged, Simple, WAH, EWAH 
90.4995,79.7104,79.6909,0.000556946,335.897,779.753
90.4995,79.7104,79.6909,0.000686646,666.758,815.46
90.4995,79.7104,79.6909,0.000686646,815.574,779.291
90.4995,79.7104,79.6909,0.000556946,767.066,797.139
90.4995,79.7104,79.6909,0,775.875,806.91
90.4995,79.7104,79.6909,0.000190735,779.141,834.438
90.4995,79.7104,79.6909,0.000274658,792.422,855.246
178.09,79.7104,79.6909,0.00037384,795.035,881.504
178.089,168.828,79.6909,0.00050354,782.934,873.469
178.089,168.828,79.6909,0.000617981,789.934,886.125
178.089,168.828,79.6909,0.00117493,782.934,899.399
178.089,168.828,79.6909,0.00173187,800.848,918.133
178.089,168.828,79.6909,0.00228882,843.031,919.856
178.089,168.828,166.566,0.00284576,811.211,928.532
178.089,168.828,166.566,0.00297546,810.254,917.547
178.089,168.828,166.566,0.00310516,830.406,931.797
178.089,168.828,166.566,0.00323486,808.184,942.903
178.089,168.828,166.566,0.00327301,832.789,967.7
178.089,168.828,166.566,0.0032959,817.934,979.262
178.089,168.828,166.566,0.00341034,830.699,1002.17
178.089,168.828,166.566,0.00396729,829.988,996.11
178.089,168.828,166.566,0.00452423,828.871,1031.26
178.089,100.425,166.566,0.00508118,817.934,1044.78
178.089,100.425,166.566,0.00563812,817.934,1057.43
178.089,100.425,166.566,0.00576782,817.934,1069.26
178.089,100.425,166.566,0.00589752,817.934,1047.03
178.089,100.425,166.566,0.00602722,817.934,1056.87
178.089,100.425,166.566,0.00606537,830.344,1064.07
178.089,100.425,166.566,0.00608826,829.953,1070.76
178.089,100.425,166.566,0.0062027,804.547,1083.35
178.089,100.425,166.566,0.00675964,818.219,1089.14
178.089,100.425,166.566,0.00731659,816.918,1100.48
178.089,100.425,166.566,0.00787354,815.543,1105.79
178.089,100.425,166.566,0.00843048,814.168,1111.04
178.089,100.425,100.425,0.00856018,811.711,1153.93
178.089,100.425,100.425,0.00868988,797.539,1125.58
178.089,100.425,100.425,0.00881958,803.496,1125.51
178.089,100.425,100.425,0.00885773,823.219,1125.4
178.089,100.425,100.426,0.00888062,807.868,1125.28
178.089,100.425,100.425,0.0089035,820.605,1125.16
178.089,100.425,100.425,0.00892639,819.968,1131.17
178.089,100.425,100.425,0.00905609,812.621,1137
178.089,100.425,100.425,32.0129,805.238,1142.56
178.089,100.425,100.425,64.0168,804.98,1179.36
178.089,100.425,100.425,64.0168,792.055,1149.85
178.089,100.425,100.425,64.0169,804.824,1192.97
178.089,100.426,100.425,64.0277,804.38,1162.27
178.089,100.425,100.425,64.0304,793.657,1161.47
178.089,100.425,100.425,64.0332,793.491,1160.62
178.089,124.082,100.425,64.0386,817.943,1160.19
178.089,64.0425,100.425,64.0386,855.996,1159.77
178.089,,100.425,64.0277,803.664,1159.38
178.089,,100.425,64.0278,953.933,1162.86
178.089,,100.425,64.0279,889.929,1162.49
178.089,,100.425,64.0417,,1164.93
178.089,,100.425,64.0452,,1171.81
178.089,,100.425,64.0486,,1176.99
178.089,,100.425,64.0555,,1206.15
178.089,,100.425,64.0417,,1183.03
178.089,,100.425,64.0417,,1186.25
91.1128,,100.425,64.0418,,1189.05
91.1128,,100.425,64.0425,,1191.49
91.1128,,100.425,64.0427,,1193.62
91.1128,,100.425,64.0428,,1195.49
91.1133,,100.425,64.0432,,1219.72
91.1128,,100.425,64.0425,,1198.26
91.1128,,100.425,79.6909,,1200.08
91.1128,,100.425,266.585,,1201.59
91.1128,,100.425,266.585,,1202.87
91.1128,,100.425,250.937,,1203.97
91.1128,,100.425,353.46,,1204.94
91.1128,,100.425,635.624,,1205.81
91.1128,,100.425,635.624,,1206.61
91.1128,,100.425,533.101,,1207.93
91.1128,,100.425,569.484,,1208.82
91.1128,,100.425,1225.83,,1209.56
91.1128,,100.425,1225.83,,1210.15
91.1128,,100.425,1189.45,,1210.58
91.1128,,100.425,1249.49,,1232.02
91.1128,,100.425,1249.49,,1211.07
91.1128,,100.425,1189.45,,1211.3
91.1133,,100.425,1189.45,,1211.46
91.1128,,100.425,1189.45,,1211.42
91.1128,,100.425,1189.45,,1211.4
91.1128,,100.425,1189.45,,1211.4
91.1128,,100.425,1189.45,,1249.52
124.082,,100.425,1189.45,,1213.05
64.0425,,100.425,1189.45,,1204.27
,,100.425,1189.45,,1282.53
,,100.425,1189.45,,1380.2
,,100.425,1189.45,,1315.09
,,124.082,,,
,,64.0425,,,
