RPFD, EPFD, Merged, Simple, WAH, EWAH 
110.88,94.4931,94.2939,0,64.3168,32.3016
110.88,94.4931,94.2939,0.000556946,109.757,32.3016
110.88,94.4931,94.2939,0.000686646,179.58,46.2156
110.88,94.4931,94.2939,0.000686646,249.569,46.2156
110.88,94.4931,94.2939,0,249.569,55.6022
110.88,94.4931,94.2939,0.00025177,287.002,63.2115
110.88,94.4931,94.2939,0.00075531,279.998,70.8755
110.88,94.4931,94.2939,0.00131226,296.487,81.0787
110.88,94.4931,94.2939,0.00341034,327.99,85.1685
110.88,94.4931,94.2939,0.00343323,313.987,96.5004
110.88,94.4931,94.2939,0.00466156,302.256,108.387
110.88,94.4931,94.2939,0.0062027,309.252,120.859
110.88,94.4931,94.2939,0.00622559,299.979,134.055
110.88,94.4931,94.2939,0.00745392,292.975,147.933
110.88,94.4931,94.2939,0.00899506,257.451,162.324
110.88,91.7548,90.7001,0.00901794,277.447,177.597
110.88,91.7548,90.7001,0.0102463,286.459,195.179
108.087,91.7548,90.7001,0.0117874,286.78,195.179
108.087,91.7548,90.7001,0.0120163,272.365,188.743
108.087,91.7548,90.7001,32.0159,283.893,195.609
108.087,91.7548,90.7001,64.0197,284.178,202.609
108.087,108.986,108.923,64.0307,298.471,209.746
108.087,108.985,108.923,64.0334,280.393,231.82
108.087,108.985,108.923,64.0415,278.127,277.199
108.087,108.985,108.923,64.0415,299.108,261.074
108.087,108.985,108.923,64.0447,292.928,303.097
108.087,108.985,108.923,64.0481,265.362,271.953
108.087,108.985,108.923,64.0585,279.365,309.25
108.087,108.985,108.923,64.0446,272.365,279.429
108.087,108.985,108.923,64.0456,279.365,314.519
108.087,108.985,108.923,64.0595,272.365,287.125
108.087,108.985,108.923,64.063,279.365,290.871
108.087,108.985,108.923,64.0735,286.717,297.312
108.087,108.985,108.923,64.0595,293.717,302.578
105.001,108.985,108.923,94.2939,287.076,302.972
105.001,108.985,108.923,430.907,245.967,322.015
105.001,108.985,108.923,430.907,258.791,309.136
105.001,108.985,108.923,400.673,283.631,309.808
105.001,108.985,108.923,427.313,295.885,330.441
105.001,108.985,108.923,535.387,261.151,316.152
105.001,108.985,108.923,535.387,280.807,337.507
105.001,108.985,108.923,508.747,247.061,322.601
105.001,108.985,108.923,553.61,268.201,344.664
105.001,108.985,108.923,1266.81,257.647,329.175
105.001,108.985,108.923,1266.81,257.647,351.957
105.001,108.985,108.923,1221.95,272.588,335.906
105.001,108.985,108.923,1233.84,283.092,359.425
105.001,108.985,108.923,1281.74,268.151,342.808
105.001,108.985,108.923,1281.74,238.017,343.417
82.9267,108.985,108.923,1269.84,,344.023
82.9267,108.985,108.923,1272.21,,344.601
82.9267,108.985,108.923,1269.84,,364.124
82.9267,108.985,108.923,1269.84,,345.14
82.9267,108.985,75.954,1269.84,,352.261
82.9267,108.985,75.954,1269.84,,372.296
82.9267,108.985,75.954,1269.84,,352.773
82.9267,76.5556,75.954,1269.84,,387.91
82.9267,76.5556,75.954,1269.84,,352.773
82.9267,76.5556,66.4246,1269.84,,338.5
82.9267,76.5556,64.0595,1269.84,,344.261
82.9267,66.4246,,1269.84,,346.816
82.9267,64.0595,,1269.84,,359.765
66.4246,,,1269.84,,367.273
64.0595,,,,,363.816
,,,,,357.839
,,,,,346.558
,,,,,353.558
,,,,,360.558
,,,,,362.613
,,,,,363.832
,,,,,371.234
,,,,,372.132
,,,,,370.863
,,,,,370.789
,,,,,356.089
,,,,,358.14
,,,,,362.246
,,,,,359.511
