rle_4var_.001,rle_4var_.01,rle_4var_.1,rle_4var_1,rle_4var_10,rle_3var_.001,rle_3var_.01,rle_3var_.1,rle_3var_1,rle_3var_10,rle_2var_.001,rle_2var_.01,rle_2var_.1,rle_2var_1,rle_2var_10,epd_4var_.001,epd_4var_.01,epd_4var_.1,epd_4var_1,epd_4var_10,epd_3var_.001,epd_3var_.01,epd_3var_.1,epd_3var_1,epd_3var_10,epd_2var_.001,epd_2var_.01,epd_2var_.1,epd_2var_1,epd_2var_10,merge_4var_.001,merge_4var_.01,merge_4var_.1,merge_4var_1,merge_4var_10,merge_3var_.001,merge_3var_.01,merge_3var_.1,merge_3var_1,merge_3var_10,merge_2var_.001,merge_2var_.01,merge_2var_.1,merge_2var_1,merge_2var_10,sep_4var_.001,sep_4var_.01,sep_4var_.1,sep_4var_1,sep_4var_10,sep_3var_.001,sep_3var_.01,sep_3var_.1,sep_3var_1,sep_3var_10,sep_2var_.001,sep_2var_.01,sep_2var_.1,sep_2var_1,sep_2var_10,wah_4var_.001,wah_4var_.01,wah_4var_.1,wah_4var_1,wah_4var_10,wah_3var_.001,wah_3var_.01,wah_3var_.1,wah_3var_1,wah_3var_10,wah_2var_.001,wah_2var_.01,wah_2var_.1,wah_2var_1,wah_2var_10,ewah_4var_.001,ewah_4var_.01,ewah_4var_.1,ewah_4var_1,ewah_4var_10,ewah_3var_.001,ewah_3var_.01,ewah_3var_.1,ewah_3var_1,ewah_3var_10,ewah_2var_.001,ewah_2var_.01,ewah_2var_.1,ewah_2var_1,ewah_2var_10 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140.212,110.88,197.654,140.489,135.556,32.0129,85.1831,139.835,90.4995,128.699,0.00605011,0.00605011,121.648,0,166.848,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,0.00605011,79.7071,93.4376,111.023,121.492,112.955,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,0.00605011,79.6876,93.3946,110.789,120.746,0.000556946,0,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,96.852,64.3168,67.6059,325.537,237.792,34.9966,428.109,504.948,335.897,190.538,6.37524,27.895,24.9809,61.2817,379.25,0,32.3016,433.874,697.086,775.977,0,860.66,706.754,779.753,0,0.000556946,0.000556946,0.000556946,0,876.026
140.212,110.88,197.653,140.489,135.556,85.1831,85.1831,139.835,90.4995,128.699,32.0099,32.0099,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,32.0099,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.021,109.974,74.9057,74.9057,109.351,79.6909,98.6323,32.0099,79.6871,93.3941,110.789,120.746,0.000686646,0.000556946,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,176.726,109.757,131.332,670.065,495.222,73.8785,673.792,729.48,666.758,454.987,9.97098,27.895,47.6919,119.036,608.551,267.727,32.3016,463.956,712.453,794.332,21.2938,848.645,760.648,815.46,675.009,0,0,14.7469,117.051,923.651
140.212,110.88,197.653,140.489,135.556,85.1831,85.1831,139.835,90.4995,128.699,64.0387,90.4961,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,66.3669,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,64.0387,79.6871,93.3941,110.789,120.746,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,0.000686646,240.561,179.58,219.183,721.584,768.316,118.635,818.27,781.375,815.574,622.672,13.7822,44.7153,76.8013,142.91,885.454,251.602,46.2156,441.479,733.316,809.016,21.2938,869.267,752.758,779.291,719.153,0.000999451,0.000999451,14.7469,183.657,981.796
140.212,110.88,197.653,140.489,135.556,85.1831,85.1831,139.835,90.4995,128.699,67.0783,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,66.2642,79.6871,93.3941,110.789,120.746,0,0.000686646,0,0,0,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,0.000556946,240.561,249.569,292.459,698.573,821.003,122.124,826.351,717.026,767.066,660.398,25.0867,44.7153,93.6216,177.8,884.971,293.626,46.2156,487.768,742.734,821.657,34.3914,925.689,767.828,797.139,694.115,0.00244904,0.00244904,24.6023,179.645,1042.58
140.212,110.88,197.653,140.489,135.556,85.1831,85.1831,139.835,90.4995,128.699,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00025177,0,0.00025177,0.00025177,0.00025177,0,0,0,0,0,0,0,0,0,0,277.994,249.569,387.201,715.326,797.601,122.124,833.407,725.426,775.875,656.285,25.0867,62.1996,106.102,180.753,898.608,262.481,55.6022,460.717,749.181,826.444,34.3914,922.458,769.456,806.91,735.155,0.00302887,0.00302887,24.6023,193.657,1023.64
140.212,110.88,197.653,140.489,135.556,85.1831,85.1831,139.835,90.4995,128.699,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00075531,0.00025177,0.00075531,0.00075531,0.00075531,0.000190735,0.000190735,0.000190735,0.000190735,0.000190735,0.0001297,0.0001297,0.0001297,0.0001297,0.0001297,270.99,287.002,416.99,696.76,812.468,156.768,838.945,732.871,779.141,619.244,31.8913,62.1997,106.102,200.32,927.881,299.778,63.2115,511.088,767.967,844.293,49.8444,954.115,787.304,834.438,772.666,0.0350266,0.0350266,35.2819,185.403,1058.57
140.212,110.88,197.653,140.489,333.497,85.1831,85.1831,139.835,90.4995,128.699,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,74.9135,109.449,79.7104,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00131226,0.00075531,0.00131226,0.00131226,0.00131226,0.000274658,0.000274658,0.000274658,0.000274658,0.000274658,0.000183105,0.000183105,0.000183105,0.000183105,0.000183105,287.479,279.998,462.139,673.914,777.031,167.272,850.547,745.254,792.422,625.316,31.8914,78.6294,124.055,197.89,917.108,269.958,70.8755,479.877,785.894,881.592,49.8444,955.873,809.904,855.246,789.705,0.0379105,0.0379105,35.2819,202.793,1085.63
140.212,110.88,197.653,140.489,333.497,85.1836,167.727,139.835,178.09,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,153.59,109.449,79.7104,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,74.9057,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00341034,0.00131226,0.00341034,0.00341034,0.00341034,0.00037384,0.00037384,0.00037384,0.00037384,0.00037384,0.00025177,0.00025177,0.00025177,0.00025177,0.00025177,318.982,296.487,455.135,680.758,786.456,160.268,847.48,746.473,795.035,623.57,27.9443,58.5777,120.555,199.644,975.835,305.048,81.0787,529.198,832.992,891.685,36.2509,958.612,845.411,881.504,804.823,0.0424881,0.0424881,46.8834,193.266,1126.39
140.212,110.88,197.653,140.489,333.497,85.1831,167.727,139.835,178.089,262.816,67.0778,90.4957,121.648,153.695,166.847,113.466,94.4931,146.497,113.626,110.458,74.9135,153.589,109.449,168.828,98.6753,66.3664,79.7066,93.4371,111.023,121.492,112.954,94.2939,145.884,113.02,109.974,74.9057,151.152,109.351,79.6909,98.6323,66.2637,79.6871,93.3941,110.789,120.746,0.00343323,0.00341034,0.00343323,0.00343323,0.00343323,0.00050354,0.00050354,0.00050354,0.00050354,0.00050354,0.000335693,0.000335693,0.000335693,0.000335693,0.000335693,304.979,327.99,451.529,688.846,787.741,125.307,853.965,734.66,782.934,635.785,27.9444,64.6012,127.555,199.199,940.577,277.653,85.1685,494.948,866.269,898.447,57.8601,995.785,871.669,873.469,818.038,0.0470657,0.0470657,46.8834,212.907,1124.4
