1 , 1869425 , 89.1403 , 3184715 , 13666777 , 66560 , 16918052 , 614205
2 , 5466 , 0.260637 , 31 , 178201 , 995 , 179227 , 
3 , 16206 , 0.772755 , 123 , 430180 , 1846 , 432149 , 
4 , 26127 , 1.24582 , 132 , 624931 , 1332 , 626395 , 
5 , 29314 , 1.39779 , 31 , 638656 , 131 , 638818 , 
6 , 17158 , 0.818149 , 24 , 305841 ,  , 305865 , 
7 , 1130 , 0.0538821 ,  , 16339 ,  , 16339 , 
8 , 6914 , 0.329682 ,  , 33314 ,  , 33314 , 
9 , 121248 , 5.7815 ,  , 476434 , 9368 , 485802 , 32308
10 , 3357 , 0.160073 ,  , 19911 , 1205 , 21116 , 142
11 , 822 , 0.0391956 ,  , 1695 , 291 , 1986 , 150
12 , 1 , 4.76833e-05 ,  ,  , 4 , 4 , 
13 , 4 , 0.000190733 ,  ,  , 35 , 35 , 
