query,method,bmap,decode,io,intersection,ridrecovery,total
query1,naive,0.7446,0,3.2352,0.0568,0.0516,4.3696
query2,naive,1.4736,0,3.5776,0.065,0.0948,5.4882
query1,simple,0.7216,1.3112,0.6906,0.061,0.052,3.1218
query2,simple,1.5524,1.6788,0.9074,0.0592,0.0914,4.6704
query1,merged,0,1.38165,0.48355,0.04525,0.0501,2.1663
query2,merged,0,2.2074,0.8107,0.04465,0.0885,3.35685
query1,epfd,0,1.2855,0.48275,0.04745,0.0506,2.053
query2,epfd,0,1.9697,0.7148,0.0465,0.08825,3.049
query1,rpfd,0,0.437,0.771,0.0498,0.0428,1.5902
query2,rpfd,0,1.4346,1.047,0.0554,0.0934,2.9974
